step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
49000,0.13197562808369728,0.00162098603323102,-5.25,-5.335268085369565,-1.0478674173355103,-1.0563212633132935,-1.104615330696106,-1.067050576210022,-1.0427604913711548,-0.7725536227226257,-1.6101411581039429
50000,0.1279776295251399,0.0023623022716492414,-5.25,-5.261410986469284,-1.0699394941329956,-1.0629522800445557,-1.1045912504196167,-1.1488378047943115,-1.0649220943450928,-0.8089916110038757,-1.4362266063690186
51000,0.12417461565712871,0.0015640914207324386,-5.25,-5.263166760543662,-1.069324254989624,-1.0807348489761353,-1.0708526372909546,-1.1898555755615234,-1.0402233600616455,-0.7522599101066589,-1.5568263530731201
52000,0.12055707696409221,0.0021045845933258533,-5.25,-5.621628723543992,-1.0494557619094849,-1.0476961135864258,-1.0638236999511719,-1.0471217632293701,-1.0467716455459595,-0.7505199313163757,-1.7169643640518188
53000,0.117115967715006,0.001000282820314169,-5.25,-5.252554452816456,-1.059949517250061,-1.0686804056167603,-1.0586475133895874,-1.0619056224822998,-1.0615137815475464,-0.7773205041885376,-1.4731662273406982
54000,0.11384268334435368,0.0017363388324156404,-5.75,-5.346435639134278,-1.0698574781417847,-1.0527033805847168,-1.0821117162704468,-1.0516794919967651,-1.059222936630249,-0.7964741587638855,-1.4081945419311523
55000,0.11072903893623087,0.002241582376882434,-5.25,-5.309419414838696,-1.0945889949798584,-1.170130968093872,-1.0989681482315063,-1.1452805995941162,-1.067505955696106,-0.774304986000061,-1.4217098951339722
56000,0.10776724875779234,0.002096667652949691,-5.25,-5.334093030541315,-1.1479566097259521,-1.0562844276428223,-1.083410620689392,-1.0811476707458496,-1.076507568359375,-0.7994586825370789,-1.480015516281128
57000,0.1049499067908644,0.002489335834980011,-5.25,-5.496500837572401,-1.0684977769851685,-1.0530939102172852,-1.1221786737442017,-1.1073815822601318,-1.051792860031128,-0.7930901646614075,-1.5064318180084229
58000,0.1022699682130418,0.0014783265069127083,-5.25,-5.2755256631276035,-1.0576001405715942,-1.056604027748108,-1.0673964023590088,-1.0530599355697632,-1.0551904439926147,-0.7076210975646973,-2.0940678119659424
59000,0.09972073178196239,0.0005848374566994607,-5.25,-5.270442348810294,-1.0491809844970703,-1.0567090511322021,-1.113891839981079,-1.0650895833969116,-1.051616907119751,-0.7687574625015259,-1.669027328491211
60000,0.09729582307871044,0.00158261030446738,-5.25,-5.318231112448928,-1.0661039352416992,-1.0583281517028809,-1.0768814086914062,-1.1639132499694824,-1.0649878978729248,-0.7731565237045288,-1.3101260662078857
61000,0.09498917856844932,0.002304373076185584,-5.25,-5.285952418594694,-1.0696359872817993,-1.0498799085617065,-1.0598082542419434,-1.056654691696167,-1.0519005060195923,-0.7484104037284851,-1.8147151470184326
