step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
49000,0.13197562808369728,0.0009035255061462522,-5.25,-5.284518768193616,-1.0653016567230225,-1.0658607482910156,-1.0796459913253784,-1.0782767534255981,-1.0549198389053345,-0.8542584180831909,-0.9626275300979614
50000,0.1279776295251399,0.0005629913066513836,-5.25,-5.305937975691881,-1.0416772365570068,-1.0390336513519287,-1.0467675924301147,-1.0446841716766357,-1.0426620244979858,-0.8447221517562866,-0.9437834024429321
51000,0.12417461565712871,0.0011063710553571582,-5.25,-5.289960634884765,-1.0577762126922607,-1.0808990001678467,-1.164384126663208,-1.1340833902359009,-1.0531399250030518,-0.7970520257949829,-0.8619502782821655
52000,0.12055707696409221,0.0032432558946311474,-5.25,-5.367779079450048,-1.0449763536453247,-1.0450799465179443,-1.1077512502670288,-1.1758211851119995,-1.0587341785430908,-0.7953998446464539,-0.8858420252799988
53000,0.117115967715006,0.0031044839415699244,-5.25,-5.329452586094592,-1.0870167016983032,-1.0758882761001587,-1.0745564699172974,-1.21920645236969,-1.065094232559204,-0.811458945274353,-0.8877338171005249
54000,0.11384268334435368,0.002616155194118619,-5.25,-5.355601554218685,-1.1901929378509521,-1.1605266332626343,-1.1408299207687378,-1.159993290901184,-1.1314799785614014,-0.8396826982498169,-0.8919317126274109
55000,0.11072903893623087,0.001500293961726129,-5.25,-5.295256591203831,-1.0723817348480225,-1.0631922483444214,-1.0680416822433472,-1.067345142364502,-1.0614118576049805,-0.8570583462715149,-0.9663487672805786
56000,0.10776724875779234,0.0008233378175646067,-5.25,-5.335786373393853,-1.056594967842102,-1.055217981338501,-1.12360417842865,-1.1487493515014648,-1.0550358295440674,-0.8208829164505005,-0.9254776239395142
57000,0.1049499067908644,0.0008076117956079543,-5.25,-5.250007322849144,-1.0523680448532104,-1.0591957569122314,-1.065570592880249,-1.0707823038101196,-1.0498677492141724,-0.8345760107040405,-0.9319193959236145
58000,0.1022699682130418,0.0015582650667056441,-5.25,-5.445338360822691,-1.0981152057647705,-1.0674139261245728,-1.2130732536315918,-1.2325397729873657,-1.0771794319152832,-0.7908302545547485,-0.8503815531730652
59000,0.09972073178196239,0.0014667552895843983,-5.25,-5.2777662825962395,-1.0413482189178467,-1.042976975440979,-1.0450347661972046,-1.0514320135116577,-1.043945550918579,-0.8591680526733398,-0.9707069396972656
60000,0.09729582307871044,0.001221303129568696,-5.25,-5.320902800504798,-1.0615689754486084,-1.0574628114700317,-1.072424292564392,-1.0799826383590698,-1.0556656122207642,-0.867146372795105,-0.9753807783126831
61000,0.09498917856844932,0.00090029276907444,-5.25,-5.252269140838714,-1.0869204998016357,-1.0575100183486938,-1.0646286010742188,-1.0594673156738281,-1.0560579299926758,-0.8676433563232422,-0.982413649559021
